date,Total Followers,Paid Total Followers
07/02/2026,50412,
07/03/2026,50431,
07/04/2026,50440,
07/05/2026,50453,
07/06/2026,50474,
07/07/2026,50493,
07/08/2026,50513,
07/09/2026,50549,
07/10/2026,50579,
07/11/2026,50594,
07/12/2026,50605,
07/13/2026,50605,
