date,id,text,last_checked,media,serviceLink,__typename,impressions,engagements,likes,comments,shares,clicks,engagement_rate,type
06/01/2026 14:29:00,linkedin_urn:li:organization:2210580_2026-06-01T04:29:00+00:00,"Excited to welcome @Vanessa Morley as Chief People Officer at Vocus!",2026-07-14 22:15:01,,https://www.linkedin.com/feed/update/urn:li:share:7467069667002589184,AnalyticsPostStatistics,7291,695,118,1,1,575,9.532300096008777,text
06/19/2026 13:55:27,linkedin_urn:li:organization:2210580_2026-06-19T03:55:27+00:00,"Catch our Chief Customer Officer, @Matt Walsh, at the Pilbara Summit 2026 next week, joining the conversation on what the region's next decade looks like and the digital infrastructure underpinning it. #PilbaraSummit2026 #HorizonCable",2026-07-14 22:15:01,,https://www.linkedin.com/feed/update/urn:li:share:7473584208196562944,AnalyticsPostStatistics,5179,133,44,1,0,88,2.568063332689708,text
06/30/2026 16:39:38,linkedin_urn:li:organization:2210580_2026-06-30T06:39:38+00:00,"Australia’s AI future needs a stronger digital backbone.   Today, Vocus announced the launch of the Australian Digital Infrastructure Platform (ADIP) — a multi-year initiative designed to help close Australia’s growing fibre capacity gap and support the next generation of AI, cloud and digital infrastructure.   As the first project under ADIP, we intend to build and operate Australia’s first ducted long-haul fibre route, connecting Sydney and Melbourne. Designed for future scale, the route will support up to 6,912 fibre cores and is expected to be ready for service in 2029.   AI is transforming the way businesses, governments and communities use data. To keep pace, Australia needs sovereign, resilient and future-ready fibre infrastructure built to global standards.   Through ADIP, Vocus is investing in the critical digital foundations that will power innovation, strengthen connectivity and help position Australia for the AI era. Read more: https://lnkd.in/euCaQKhr",2026-07-14 22:15:01,,https://www.linkedin.com/feed/update/urn:li:share:7477611791422849024,AnalyticsPostStatistics,5053,417,177,2,46,192,8.252523253512765,text
06/12/2026 14:39:31,linkedin_urn:li:organization:2210580_2026-06-12T04:39:31+00:00,"Our Head of Digital Solutions and Innovation, @Greg Phillips, chaired the Technology, Data and AI Integration Track at the Government Innovation Showcase South Australia, moderating fireside chats and facilitating C-level customer panels throughout the event. A consistent theme emerged across the discussions: as AI adoption accelerates in digital government, the focus is shifting from strategic intent to measurable service outcomes. Panellists highlighted that network performance and data access are becoming just as important as the models themselves – with Australia's move toward inference-driven workloads putting more demand on underlying connectivity. It was great to be part of the conversation.  #AI #DigitalInfrastructure #ConnectingAustralia",2026-07-14 22:15:01,,https://www.linkedin.com/feed/update/urn:li:ugcPost:7471058581161725953,AnalyticsPostStatistics,4966,796,110,5,2,679,16.02899718082964,image
06/25/2026 12:36:42,linkedin_urn:li:organization:2210580_2026-06-25T02:36:42+00:00,"Most national networks follow the easy coastal route between capital cities. Horizon went inland, to the mines, ports and towns that earn a large share of this country's export income. With Horizon now live, Vocus' national network forms a figure of ♾️eight across Australia, closing the western loop. If a cable is cut on one side of the country, most customer data services can be rerouted the other way around the loops, or out through our international submarine cables and back into Australia. For a Pilbara mine, that means three separate routes to Perth: along Horizon, across the Darwin to Adelaide to Perth corridor, or out to sea via the Darwin-Jakarta-Singapore Cable System. Route diversity at this scale protects critical operations from a core network cable cut that has historically halted entire regions. A regional build. A national result. #HorizonCable #DigitalInfrastructure #ConnectingAustralia",2026-07-14 22:15:01,,https://www.linkedin.com/feed/update/urn:li:share:7475738713977745408,AnalyticsPostStatistics,4873,322,120,1,12,189,6.607839113482454,image
