date,id,text,last_checked,media,serviceLink,__typename,impressions,engagements,likes,comments,shares,clicks,engagement_rate,type
04/07/2026 08:41:44,linkedin_urn:li:organization:2210580_2026-04-06T22:41:44+00:00,"#TakeFive with @Raihanna Yusoff! Behind every project, every office and every customer experience are the people who keep it all running. Raihanna is one of them. We snuck in 5 quick questions with Raihanna at our Melbourne reception to find out what life looks like in our Facilities and Reception team. See more of our team and the work they do across the business on our Instagram 👉 https://lnkd.in/gJuCmfqK #TeamVocus #BehindTheScenes ",2026-04-28 02:46:14,,https://www.linkedin.com/feed/update/urn:li:ugcPost:7447050640234754048,AnalyticsPostStatistics,5298,507,94,7,1,405,9.56964892412231,video
04/20/2026 14:01:01,linkedin_urn:li:organization:2210580_2026-04-20T04:01:01+00:00,"For @VetPartners Australia and New Zealand, operating more than 270 veterinary clinics across 3 countries means technology plays a critical role in day-to-day operations, from booking systems to imaging. In partnership with @Fortinet, we delivered a managed SD-WAN network that simplified their environment and created a scalable, reliable foundation. By working closely together, the teams were able to deliver at pace, supporting clinicians with the technology they rely on every day. Watch the video to learn more 🐕 and visit our website for the case study: https://lnkd.in/gqhMvPAr",2026-04-28 02:46:14,,https://www.linkedin.com/feed/update/urn:li:ugcPost:7451842198196686848,AnalyticsPostStatistics,4189,277,86,6,6,179,6.612556696108856,video
04/10/2026 09:00:09,linkedin_urn:li:organization:2210580_2026-04-09T23:00:09+00:00,"A huge thank you to our wonderful Vocus mentors who took part in our recent ‘Focus’ mentoring sessions, in partnership with the Australian Business and Community Network (@ABCN). As one of our International Women's Day commitments, volunteers in Melbourne mentored Year 11 and 12 students from a local school. The goal is simple: help young women build confidence, leadership capability and belief in themselves - a great way to bring this year's #BalanceTheScales theme to life. Congratulations to these inspiring young women who are building confidence and embracing their leadership potential.  #BuildingCriticalConnections #EnablingBetterPossibilities #mentorprogram #IWD2026 #BalanceTheScales",2026-04-28 02:46:14,,https://www.linkedin.com/feed/update/urn:li:ugcPost:7447889249229643776,AnalyticsPostStatistics,4046,1391,46,2,4,1339,34.37963420662383,text
04/01/2026 13:50:25,linkedin_urn:li:organization:2210580_2026-04-01T02:50:25+00:00,"It was great to host customers in Brisbane and Perth recently for a deep dive into remote connectivity via LEO satellite for the mining and utilities sectors.   The conversations centred on how we take a high-performing product like Starlink and make it sustainable, scalable and fit for enterprise, with local Australian delivery, billing and tech support behind it.   Dominating the room was Starlink Ethernet Access (SEA). It gives customers direct private access to their existing WAN over Vocus's national fibre footprint, without internet exposure. A more secure connectivity option over LEO satellite with additional network enhancements built in.   This is just the start of what LEO satellite and fibre can do together for Australia's critical industries.  Head to our website to learn more 🛰️https://lnkd.in/gJsZrxzh @Ashley Grove | @Paul Haraldson | @Bryan Turnbull   #LEO #Starlink #DigitalInfrastructure #ConnectingAustralia",2026-04-28 02:46:14,,https://www.linkedin.com/feed/update/urn:li:ugcPost:7444939199096709120,AnalyticsPostStatistics,2859,686,45,0,6,635,23.994403637635536,text
04/15/2026 14:12:38,linkedin_urn:li:organization:2210580_2026-04-15T04:12:38+00:00,"Mining is generating more data than ever, but generating it is only half the story. The real shift is where that data gets processed. Processing is moving closer to site, enabling real-time decisions, automation and safer operations. None of that works without the underlying connectivity to support it. Our Head of Digital Solutions and Innovation, @Greg Phillips, recently spoke with @Australian Mining about how Vocus is part of that shift, helping move data reliably between regional operations and broader networks to keep pace with what mining needs next. Read the full article https://lnkd.in/gH_z6qV5 #Mining #DigitalInfrastructure #ConnectingAustralia",2026-04-28 02:46:14,,https://www.linkedin.com/feed/update/urn:li:share:7450033318617845761,AnalyticsPostStatistics,2760,72,23,0,2,47,2.608695652173913,text
