group,city,count
Your Fans,Jiangmen, Guangdong,1
Your Fans,Gimpo, Gyeonggi-do,1
Your Fans,Beiyuan, Beijing,1
Your Fans,Mowbray, Tasmania,1
Your Fans,Gray, Northern Territory,1
Your Fans,Sandilands, South Australia,1
Your Fans,East Devonport, Tasmania,1
Your Fans,Naracoorte, South Australia,1
Your Fans,Jinan, Shandong,1
Your Fans,Bacolod, Northern Mindanao,1
Your Fans,Longjiang, Guangdong,1
Your Fans,Lake Lonsdale, Victoria,1
Your Fans,Talisay, Western Visayas,1
Your Fans,Makati, Metro Manila,1
Your Fans,Traralgon, Victoria,1
Your Fans,Davao City, Davao Region,1
Your Fans,Riverside, Tasmania,1
Your Fans,Abadan, Khuzestan Province,1
Your Fans,Amritsar, Punjab region,1
Your Fans,Horsham, Victoria,1
Your Fans,Charkhi Dadri, Haryana,1
Your Fans,Warwick, Queensland,1
Your Fans,Muswellbrook, New South Wales,1
Your Fans,The Oaks, New South Wales,1
Your Fans,Oran Park, New South Wales,1
Your Fans,Najafabad, Isfahan Province,1
