hashtags,Posts count,Reach,Engagement Rate
#CrazyAboutCustomers,1,170,2.88
#Dodo,1,170,2.88
#ourpeoplearethedifference,1,197,2.96
#PushUpChallenge,1,284,2.71
#TeamVocus,1,284,2.71
#HorizonCable,4,192.25,3.885
#DigitalInfrastructure,3,162.66666666666666,3.653333333333333
#ConnectingAustralia,2,199,4.3149999999999995
#ThroughTheVocusLens,1,281,4.58
#DidYouKnow,1,90,2.33
