date,last_checked,id,media,serviceLink,comments,engagement,engagement_rate,impressions,likes,reach,reposts,saves,shares,type,text
05/26/2026 12:24:33,1780336580,18017527382687960,,https://www.instagram.com/p/DYyPYLPmddB/,0,24,4.0472175379426645,593,20,213,0,0,4,carousel_album,"We had a brilliant time celebrating World Day for Cultural Diversity last week, with Vocus team members across the country coming together to share home-cooked meals, stories, and performances.  A huge thank you to everyone who got involved – whether it was bringing a dish, sharing part of their story, or simply taking the opportunity to listen and learn something new about a colleague. Days like these are a great reminder that our diverse backgrounds, experiences and perspectives make us stronger, and that creating a workplace where people feel comfortable being themselves matters. #WorldDayForCulturalDiversity  #culturaldiversity  #ourpeoplearethedifference #diversity"
05/27/2026 10:42:20,1780336580,17985052769831024,,https://www.instagram.com/p/DY0oeUHD7ft/,1,19,8.370044052863436,227,17,139,0,0,1,image,"#ThroughTheVocusLens: Before sunrise on a remote stretch between Cue and Meekatharra, WA, the Vocus crew were already rolling out a 10km drum of cable to start the day.   Each drum was purpose-built for Project Horizon in India and loaded onto a specialised dozer designed to cut through the earth and lay cable in one continuous pass. Designed to lay up to 30km a day, the rocky ground out here has other plans - most days it's only around 8km.   This is behind the scenes of what connectivity looks like in remote Australia."
05/13/2026 14:03:24,1780336579,18107476862312037,,https://www.instagram.com/p/DYQ8WzSGWYz/,0,16,3.143418467583497,509,16,220,0,0,0,image,"Last week, our Diversity & Belonging Committee relaunched their Career in a Coffee Break ☕ webcast series, designed to connect and inspire women across our business through honest career conversations. Over 100 Vocus team members joined this conversation with Suzanne Howard (GM, Transformation Delivery) and Louisa Harris-Baxter (Head of ESG), which covered Louisa’s career journey and leadership lessons and highlighted how flexibility, sponsorship, and the right structures help women thrive. Louisa also shared a refreshingly honest take on working motherhood: That there’s “rarely a capability gap, but at times a capacity one”, and “why the right structures at home and at work make all the difference.” Thank you, Louisa for sharing so openly, and Suzanne for a great conversation. We’re looking forward to the next session!"
05/15/2026 14:35:00,1780336579,18377201617161224,,https://www.instagram.com/p/DYWJj_Omef0/,0,14,2.302631578947368,608,12,220,0,0,2,carousel_album,"We're celebrating 20 years with Darin Bodilly.   From the early days of dial‑up to the digital world we know today, Darin’s journey with Vocus is one for the history books.   Fun fact – Darin’s career at iPrimus (a Vocus brand) actually began in 1996 as Network Operations Centre Engineer and led him to numerous roles across iPrimus in Australia, Spain and the UK.   Darin moved back home in 2006 and re-joined the Australian business as VoIP Network Engineer for iPrimus and has since progressed to VoIP Voice Engineer (for then M2 Telecommunications) and to his current role today as a Senior Voice Engineer at Vocus.   Through several acquisitions, countries and roles spanning almost 30 years, what stands out to him the most isn’t the evolving industry, but the people he's worked with – some (pictured) are still celebrating Vocus milestones together today.   “It’s been an amazing journey shaped by the people along the way. I still remember coming back to Vocus in Australia after 10 years overseas and seeing many of the same faces I did all those years before. It was brilliant – we just picked up where we left off, and we’re still good friends and colleagues today, another 20 years on.”   Proof that great teams and strong relationships really stand the test of time.   Congrats to Darin on his (officially) 20 year and (unofficially) 30ish-year milestone! #TeamVocus"
05/18/2026 11:35:07,1780336579,18420181093130277,,https://www.instagram.com/p/DYdjXGdmZ3N/,0,10,2.840909090909091,352,9,174,0,0,1,image,"#ThroughTheVocusLens: Inside the control room aboard the CS Lodbrog. This is where our team piloted underwater robots to locate four severed submarine cable ends on the ocean floor off WA – within 43 metres of the predicted location. Not bad when you're searching kilometres underwater. Full story on our blog 👉 link in bio under Vocus Blogs.   #SubseaCables #DigitalInfrastructure"
